serial,Predator_type,R ID,Release_date_time,EDE_value,Last_enviro_time,Row number,ESE value? ,Expelled from pred,Surivival_time_inflection_h,Surivival_time_manual_h,manual_ede_difference,Parameter,Predation ede stats,Predation manual stats,,Notes,Difference summary stats (for all fish),,,,,,,
1392803,E,A787,21/9/2021 15:30:00,23/9/2021 9:13:58,23/09/2021 06:07:17,79,,,41.73277778,38.62138889,3.111388889,Max,352.4118056,351.5330556,,,Max = 18.0158333333334,,,,,,,
1392805,E,B213,21/9/2021 15:30:00,6/10/2021 7:54,06/10/2021 07:01:59,1759,,,352.4118056,351.5330556,0.87875,Min,2.398194444,0.471111111,,,Min = -1.06041666666667,,,,,,23/09/2021 06:07:17,23/09/2021 06:07:17
1392806,E,C224,21/9/2021 15:30:00,26/9/2021 9:16:34,25/09/2021 22:37:25,271,,,113.77625,103.1236111,10.65263889,Median,30.58680556,28.50791667,,,Median = 1.16597222222223,,,,,,06/10/2021 07:01:59,06/10/2021 07:01:59
1392809,E,D353,21/9/2021 16:00:00,27/9/2021 6:03:42,27/09/2021 05:26:02,907,,,134.0616667,133.4338889,0.627777778,Average,59.25963207,56.01944865,,,Ave = 2.93790509259257,,,,,,25/09/2021 22:37:25,25/09/2021 22:37:25
1392810,E,E456,21/9/2021 16:00:00,26/9/2021 10:45:34,25/09/2021 19:28:43,630,N,,114.7595833,99.47861111,15.28097222,SD,70.32338031,68.65914209,,,,,,,,,27/09/2021 05:26:02,27/09/2021 05:26:02
1392816,E,F367,21/9/2021 16:20:00,26/9/2021 9:34:43,26/09/2021 03:45:29,216,,,113.2452778,107.4247222,5.820555556,Count,57,66,,,,,,,,,25/09/2021 19:28:43,25/09/2021 19:28:43
1392817,E,g112,21/9/2021 17:30:00,28/9/2021 0:34:58,28/09/2021 00:10:14,525,,,151.0829167,150.6705556,0.412361111,,,,,,,,,,,,26/09/2021 03:45:29,26/09/2021 03:45:29
1392819,E,H777,21/9/2021 17:30:00,26/9/2021 10:53:06,25/09/2021 16:52:09,376,N,,113.385,95.36916667,18.01583333,,,,,,,,,,,,28/09/2021 00:10:14,28/09/2021 00:10:14
1392821,E,I187,21/9/2021 17:30:00,22/9/2021 2:09:21,22/09/2021 01:24:29,124,,,8.655972222,7.908055556,0.747916667,,,,,,,,,,,,25/09/2021 16:52:09,25/09/2021 16:52:09
1392823,E,J684,21/9/2021 17:40:00,23/9/2021 8:34:30,22/09/2021 22:54:23,139,,,38.90847222,29.23972222,9.66875,,,,,,,,,,,,22/09/2021 01:24:29,22/09/2021 01:24:29
