serial,max_temp,temp_cat
1392802,14.058,low
1392818,14.373,low
1392878,14.373,low
1392899,14.373,low
1392870,14.5305,low
1392880,14.5305,low
1392888,14.5305,low
1392891,14.5305,low
1392900,14.5305,low
1392807,14.688,low
1392822,14.688,low
1392869,14.688,low
1392882,14.688,low
1392875,14.8455,low
1392814,15.003,low
1392894,15.003,low
1392866,15.1605,low
1392824,15.318,low
1392848,15.633,low
1392874,15.633,low
1392811,15.790500000000002,low
1392864,15.790500000000002,low
1392815,16.1055,low
1392813,16.893,low
1392808,17.3655,low
1392812,18.783,mid
1392820,22.7205,mid
1392835,26.5005,mid
1392840,28.705499999999997,mid
1392804,29.3355,mid
1392838,31.383,high
1392803,35.0055,high
1392805,35.0055,high
1392806,35.0055,high
1392809,35.0055,high
1392810,35.0055,high
1392816,35.0055,high
1392817,35.0055,high
1392819,35.0055,high
1392821,35.0055,high
1392823,35.0055,high
1392825,35.0055,high
1392826,35.0055,high
1392827,35.0055,high
1392828,35.0055,high
1392829,35.0055,high
1392830,35.0055,high
1392831,35.0055,high
1392832,35.0055,high
1392833,35.0055,high
1392834,35.0055,high
1392836,35.0055,high
1392837,35.0055,high
1392839,35.0055,high
1392841,35.0055,high
1392842,35.0055,high
1392843,35.0055,high
1392844,35.0055,high
1392845,35.0055,high
1392846,35.0055,high
1392847,35.0055,high
1392849,35.0055,high
1392850,35.0055,high
1392851,35.0055,high
1392852,35.0055,high
1392853,35.0055,high
1392854,35.0055,high
1392855,35.0055,high
1392856,35.0055,high
1392857,35.0055,high
1392858,35.0055,high
1392859,35.0055,high
1392860,35.0055,high
1392861,35.0055,high
1392862,35.0055,high
1392863,35.0055,high
1392865,35.0055,high
1392867,35.0055,high
1392868,35.0055,high
1392871,35.0055,high
1392872,35.0055,high
1392873,35.0055,high
1392876,35.0055,high
1392877,35.0055,high
1392879,35.0055,high
1392881,35.0055,high
1392883,35.0055,high
1392884,35.0055,high
1392886,35.0055,high
1392887,35.0055,high
1392889,35.0055,high
1392890,35.0055,high
1392892,35.0055,high
1392893,35.0055,high
1392895,35.0055,high
1392896,35.0055,high
1392897,35.0055,high
1392898,35.0055,high
