serial,release_date_time
1392803,2021-09-21T15:30:00Z
1392805,2021-09-21T15:30:00Z
1392806,2021-09-21T15:30:00Z
1392809,2021-09-21T16:00:00Z
1392810,2021-09-21T16:00:00Z
1392816,2021-09-21T16:20:00Z
1392817,2021-09-21T17:30:00Z
1392819,2021-09-21T17:30:00Z
1392821,2021-09-21T17:30:00Z
1392823,2021-09-21T17:40:00Z
1392825,2021-09-21T17:40:00Z
1392826,2021-09-21T17:40:00Z
1392827,2021-09-23T15:15:00Z
1392828,2021-09-23T15:15:00Z
1392829,2021-09-23T15:15:00Z
1392830,2021-09-23T15:15:00Z
1392831,2021-09-23T15:15:00Z
1392832,2021-09-23T15:45:00Z
1392833,2021-09-23T15:45:00Z
1392834,2021-09-23T15:45:00Z
1392836,2021-09-23T15:45:00Z
1392837,2021-09-23T16:18:00Z
1392838,2021-09-23T16:18:00Z
1392839,2021-09-23T16:18:00Z
1392841,2021-09-23T16:18:00Z
1392842,2021-09-23T17:08:00Z
1392843,2021-09-23T17:08:00Z
1392844,2021-09-23T17:08:00Z
1392845,2021-09-23T17:08:00Z
1392846,2021-09-23T17:08:00Z
1392847,2021-09-23T17:30:00Z
1392849,2021-09-23T17:30:00Z
1392850,2021-09-23T17:30:00Z
1392851,2021-09-23T17:30:00Z
1392852,2021-09-27T15:20:00Z
1392853,2021-09-27T15:20:00Z
1392854,2021-09-27T15:20:00Z
1392855,2021-09-27T15:20:00Z
1392856,2021-09-27T15:20:00Z
1392857,2021-09-27T15:47:00Z
1392858,2021-09-27T15:47:00Z
1392859,2021-09-27T15:47:00Z
1392860,2021-09-27T15:47:00Z
1392861,2021-09-27T15:47:00Z
1392862,2021-09-27T16:00:00Z
1392863,2021-09-27T16:00:00Z
1392865,2021-09-27T16:00:00Z
1392867,2021-09-27T16:57:00Z
1392868,2021-09-27T16:57:00Z
1392871,2021-09-27T16:57:00Z
1392872,2021-09-27T17:10:00Z
1392873,2021-09-27T17:10:00Z
1392876,2021-09-27T17:10:00Z
1392877,2021-09-29T16:04:00Z
1392879,2021-09-29T14:32:00Z
1392881,2021-09-29T14:32:00Z
1392883,2021-09-29T14:40:00Z
1392884,2021-09-29T14:40:00Z
1392889,2021-09-29T15:00:00Z
1392890,2021-09-29T15:00:00Z
1392892,2021-09-29T16:04:00Z
1392893,2021-09-29T16:04:00Z
1392895,2021-09-29T16:04:00Z
1392896,2021-09-29T16:04:00Z
1392897,2021-09-29T16:30:00Z
1392898,2021-09-29T16:30:00Z
