Station.name,Latitude,Longitude,farm_name,Type,Array,Section
Site A,44.96448,-67.01331,NA,Release,A,
AZFP-01,44.99335,-67.00807,NA,Hydrophone,E,Passamaquoddy Bay
BLP-I-01,45.06957,-66.9219,NA,Hydrophone,O,Big L'etete Passage
BLP-I-03,45.06086,-66.92635,NA,Hydrophone,O,Big L'etete Passage
BLP-I-04,45.05676,-66.92849,NA,Hydrophone,O,Big L'etete Passage
BR-01,45.15255,-66.98,NA,Hydrophone,L,Bocabec River
BR-01B,45.15236,-66.98066,NA,Hydrophone,L,Bocabec River
BR-02,45.1629,-66.98383,NA,Hydrophone,L,Bocabec River
CH-01,45.12102,-67.05168,NA,Hydrophone,J,Passamaquoddy Bay
CH-02,45.09324,-67.03506,NA,Hydrophone,I,Passamaquoddy Bay
CH-03,45.08833,-67.03986,NA,Hydrophone,I,Passamaquoddy Bay
DI-01,45.02724,-67.00077,NA,Hydrophone,F,Passamaquoddy Bay
DI-02,45.02367,-66.9971,NA,Hydrophone,F,Passamaquoddy Bay
DI-03,45.01974,-66.99126,NA,Hydrophone,F,Passamaquoddy Bay
DI-04,45.01635,-66.98602,NA,Hydrophone,F,Passamaquoddy Bay
DP-I-01,45.02122,-66.9629,NA,Hydrophone,AAA,Doyle's Passage
DR-01,45.15447,-66.95438,NA,Hydrophone,M,Digdeguash River
DR-02,45.1516,-66.96471,NA,Hydrophone,M,Digdeguash River
DR-03,45.18426,-66.95972,NA,Hydrophone,M1,Digdeguash River
DR-03B,45.18399,-66.95982,NA,Hydrophone,M1,Digdeguash River
DS-01,45.19155,-67.25869,NA,Hydrophone,G5,Saint Croix River
FI-01B,45.03666,-66.80779,NA,Hydrophone,JJ,Limekiln Harbour
FI-02,45.03454,-66.81226,NA,Hydrophone,JJ,Limekiln Harbour
FI-03,45.03286,-66.81839,NA,Hydrophone,JJ,Limekiln Harbour
FI-04B,45.01607,-66.85227,NA,Hydrophone,GG,Fundy Isles
FI-05B,45.01151,-66.85601,NA,Hydrophone,GG,Fundy Isles
FI-06B,45.00693,-66.85914,NA,Hydrophone,GG,Fundy Isles
FI-07B,45.00217,-66.86218,NA,Hydrophone,GG,Fundy Isles
FI-08B,44.99849,-66.865,NA,Hydrophone,GG,Fundy Isles
FI-09B,44.99458,-66.86909,NA,Hydrophone,GG,Fundy Isles
FI-10B,44.98862,-66.87512,NA,Hydrophone,HH,Fundy Isles
