serial,species,treatment,sensor,tag_id,total_length_mm,weight_g,surgeon,tagging_date,tagging_time,release_date,group,release_time,lice_count,comments,date_released,release_date_time
1392802,Salmo salar,1,temp,6750,365,NA,BW,9/21/2021,11:02:00 AM,9/21/2021,1,12:30:00 PM,6,NA,9/21/2021,2021-09-21T15:30:00Z
1392802,Salmo salar,1,depth,6751,365,NA,BW,9/21/2021,11:02:00 AM,9/21/2021,1,12:30:00 PM,6,NA,9/21/2021,2021-09-21T15:30:00Z
1392803,Salmo salar,1,temp,6752,390,NA,BW,9/21/2021,11:09:00 AM,9/21/2021,1,12:30:00 PM,2,NA,9/21/2021,2021-09-21T15:30:00Z
1392803,Salmo salar,1,depth,6753,390,NA,BW,9/21/2021,11:09:00 AM,9/21/2021,1,12:30:00 PM,2,NA,9/21/2021,2021-09-21T15:30:00Z
1392804,Salmo salar,1,temp,6754,345,NA,BW,9/21/2021,11:15:00 AM,9/21/2021,1,12:30:00 PM,8,small lesion,9/21/2021,2021-09-21T15:30:00Z
1392804,Salmo salar,1,depth,6755,345,NA,BW,9/21/2021,11:15:00 AM,9/21/2021,1,12:30:00 PM,8,small lesion,9/21/2021,2021-09-21T15:30:00Z
1392805,Salmo salar,1,temp,6756,360,NA,BW,9/21/2021,11:20:00 AM,9/21/2021,1,12:30:00 PM,8,NA,9/21/2021,2021-09-21T15:30:00Z
1392805,Salmo salar,1,depth,6757,360,NA,BW,9/21/2021,11:20:00 AM,9/21/2021,1,12:30:00 PM,8,NA,9/21/2021,2021-09-21T15:30:00Z
1392806,Salmo salar,1,temp,6758,360,NA,BW,9/21/2021,11:26:00 AM,9/21/2021,1,12:30:00 PM,16,lesion 6-7cm long,9/21/2021,2021-09-21T15:30:00Z
1392806,Salmo salar,1,depth,6759,360,NA,BW,9/21/2021,11:26:00 AM,9/21/2021,1,12:30:00 PM,16,lesion 6-7cm long,9/21/2021,2021-09-21T15:30:00Z
1392807,Salmo salar,1,temp,6760,355,NA,BW,9/21/2021,11:32:00 AM,9/21/2021,2,1:00:00 PM,18,scale loss,9/21/2021,2021-09-21T16:00:00Z
1392807,Salmo salar,1,depth,6761,355,NA,BW,9/21/2021,11:32:00 AM,9/21/2021,2,1:00:00 PM,18,scale loss,9/21/2021,2021-09-21T16:00:00Z
1392808,Salmo salar,1,temp,6762,350,NA,BW,9/21/2021,11:39:00 AM,9/21/2021,2,1:00:00 PM,8,NA,9/21/2021,2021-09-21T16:00:00Z
1392808,Salmo salar,1,depth,6763,350,NA,BW,9/21/2021,11:39:00 AM,9/21/2021,2,1:00:00 PM,8,NA,9/21/2021,2021-09-21T16:00:00Z
1392809,Salmo salar,1,temp,6764,375,NA,BW,9/21/2021,11:47:00 AM,9/21/2021,2,1:00:00 PM,15,3cm lesion,9/21/2021,2021-09-21T16:00:00Z
1392809,Salmo salar,1,depth,6765,375,NA,BW,9/21/2021,11:47:00 AM,9/21/2021,2,1:00:00 PM,15,3cm lesion,9/21/2021,2021-09-21T16:00:00Z
1392810,Salmo salar,1,temp,6766,380,NA,BW,9/21/2021,11:51:00 AM,9/21/2021,2,1:00:00 PM,16,NA,9/21/2021,2021-09-21T16:00:00Z
1392810,Salmo salar,1,depth,6767,380,NA,BW,9/21/2021,11:51:00 AM,9/21/2021,2,1:00:00 PM,16,NA,9/21/2021,2021-09-21T16:00:00Z
1392811,Salmo salar,1,temp,6768,380,NA,BW,9/21/2021,11:55:00 AM,9/21/2021,2,1:00:00 PM,20,NA,9/21/2021,2021-09-21T16:00:00Z
1392811,Salmo salar,1,depth,6769,380,NA,BW,9/21/2021,11:55:00 AM,9/21/2021,2,1:00:00 PM,20,NA,9/21/2021,2021-09-21T16:00:00Z
