serial,species,treatment,sensor,transmitter,tag_id,total_length_mm,weight_g,surgeon,tagging_date,tagging_time,release_date,group,release_time,lice_count,comments,date_released,release_date_time,CodeSpace
1392802,Salmo salar,1,temp,A69-9007-6750,6750,365,NA,BW,9/21/2021,11:02:00,9/21/2021,1,12:30:00,6,NA,9/21/2021,2021-09-21T15:30:00Z,A69-9007
1392802,Salmo salar,1,depth,A69-9007-6751,6751,365,NA,BW,9/21/2021,11:02:00,9/21/2021,1,12:30:00,6,NA,9/21/2021,2021-09-21T15:30:00Z,A69-9007
1392803,Salmo salar,1,temp,A69-9007-6752,6752,390,NA,BW,9/21/2021,11:09:00,9/21/2021,1,12:30:00,2,NA,9/21/2021,2021-09-21T15:30:00Z,A69-9007
1392803,Salmo salar,1,depth,A69-9007-6753,6753,390,NA,BW,9/21/2021,11:09:00,9/21/2021,1,12:30:00,2,NA,9/21/2021,2021-09-21T15:30:00Z,A69-9007
1392804,Salmo salar,1,temp,A69-9007-6754,6754,345,NA,BW,9/21/2021,11:15:00,9/21/2021,1,12:30:00,8,small lesion,9/21/2021,2021-09-21T15:30:00Z,A69-9007
1392804,Salmo salar,1,depth,A69-9007-6755,6755,345,NA,BW,9/21/2021,11:15:00,9/21/2021,1,12:30:00,8,small lesion,9/21/2021,2021-09-21T15:30:00Z,A69-9007
1392805,Salmo salar,1,temp,A69-9007-6756,6756,360,NA,BW,9/21/2021,11:20:00,9/21/2021,1,12:30:00,8,NA,9/21/2021,2021-09-21T15:30:00Z,A69-9007
1392805,Salmo salar,1,depth,A69-9007-6757,6757,360,NA,BW,9/21/2021,11:20:00,9/21/2021,1,12:30:00,8,NA,9/21/2021,2021-09-21T15:30:00Z,A69-9007
1392806,Salmo salar,1,temp,A69-9007-6758,6758,360,NA,BW,9/21/2021,11:26:00,9/21/2021,1,12:30:00,16,lesion 6-7cm long,9/21/2021,2021-09-21T15:30:00Z,A69-9007
1392806,Salmo salar,1,depth,A69-9007-6759,6759,360,NA,BW,9/21/2021,11:26:00,9/21/2021,1,12:30:00,16,lesion 6-7cm long,9/21/2021,2021-09-21T15:30:00Z,A69-9007
1392807,Salmo salar,1,temp,A69-9007-6760,6760,355,NA,BW,9/21/2021,11:32:00,9/21/2021,2,13:00:00,18,scale loss,9/21/2021,2021-09-21T16:00:00Z,A69-9007
1392807,Salmo salar,1,depth,A69-9007-6761,6761,355,NA,BW,9/21/2021,11:32:00,9/21/2021,2,13:00:00,18,scale loss,9/21/2021,2021-09-21T16:00:00Z,A69-9007
1392808,Salmo salar,1,temp,A69-9007-6762,6762,350,NA,BW,9/21/2021,11:39:00,9/21/2021,2,13:00:00,8,NA,9/21/2021,2021-09-21T16:00:00Z,A69-9007
1392808,Salmo salar,1,depth,A69-9007-6763,6763,350,NA,BW,9/21/2021,11:39:00,9/21/2021,2,13:00:00,8,NA,9/21/2021,2021-09-21T16:00:00Z,A69-9007
1392809,Salmo salar,1,temp,A69-9007-6764,6764,375,NA,BW,9/21/2021,11:47:00,9/21/2021,2,13:00:00,15,3cm lesion,9/21/2021,2021-09-21T16:00:00Z,A69-9007
1392809,Salmo salar,1,depth,A69-9007-6765,6765,375,NA,BW,9/21/2021,11:47:00,9/21/2021,2,13:00:00,15,3cm lesion,9/21/2021,2021-09-21T16:00:00Z,A69-9007
