Receiver,Station.name,Latitude,Longitude,Section,farm_name,Start,Stop,Type
133267,AZFP-01,44.99335,-67.00807,Passamaquoddy Bay,NA,2021-07-30T14:11:00Z,2021-11-01T10:11:00Z,Hydrophone
548185,BLP-I-01,45.06957,-66.9219,Big L'etete Passage,NA,2021-05-06T21:04:00Z,2021-11-30T13:26:00Z,Hydrophone
548187,BLP-I-03,45.06086,-66.92635,Big L'etete Passage,NA,2021-05-06T21:09:00Z,2021-11-27T15:56:00Z,Hydrophone
548188,BLP-I-04,45.05676,-66.92849,Big L'etete Passage,NA,2021-05-06T21:12:00Z,2021-11-27T15:30:00Z,Hydrophone
124998,BR-01,45.15255,-66.98,Bocabec River,NA,2021-05-07T15:28:00Z,2021-11-24T10:00:00Z,Hydrophone
548193,BR-01B,45.15236,-66.98066,Bocabec River,NA,2021-11-24T13:02:00Z,2022-04-26T14:00:00Z,Hydrophone
123515,BR-02,45.1629,-66.98383,Bocabec River,NA,2021-07-13T16:38:00Z,2021-12-03T14:11:00Z,Hydrophone
129077,CH-01,45.12102,-67.05168,Passamaquoddy Bay,NA,2021-05-07T14:11:00Z,2021-11-24T12:00:00Z,Hydrophone
129079,CH-02,45.09324,-67.03506,Passamaquoddy Bay,NA,2021-05-07T13:48:00Z,2021-11-24T09:07:00Z,Hydrophone
129081,CH-03,45.08833,-67.03986,Passamaquoddy Bay,NA,2021-05-07T13:45:00Z,2021-11-24T09:15:00Z,Hydrophone
110587,DI-01,45.02724,-67.00077,Passamaquoddy Bay,NA,2021-05-07T18:40:00Z,2021-11-26T09:47:00Z,Hydrophone
111480,DI-02,45.02367,-66.9971,Passamaquoddy Bay,NA,2021-05-07T18:33:00Z,2021-11-26T09:53:00Z,Hydrophone
115060,DI-03,45.01974,-66.99126,Passamaquoddy Bay,NA,2021-05-07T18:27:00Z,2021-11-26T09:59:00Z,Hydrophone
115076,DI-04,45.01635,-66.98602,Passamaquoddy Bay,NA,2021-05-07T18:21:00Z,2021-11-26T10:06:00Z,Hydrophone
115078,DP-I-01,45.02122,-66.9629,Doyle's Passage,NA,2021-05-07T18:06:00Z,2021-11-26T10:21:00Z,Hydrophone
119146,DR-01,45.15447,-66.95438,Digdeguash River,NA,2021-05-07T15:58:00Z,2021-11-24T10:36:00Z,Hydrophone
119153,DR-02,45.1516,-66.96471,Digdeguash River,NA,2021-05-07T15:41:00Z,2021-11-24T10:20:00Z,Hydrophone
134767,DR-03,45.18426,-66.95972,Digdeguash River,NA,2021-07-13T17:30:00Z,2021-12-03T13:33:00Z,Hydrophone
548191,DR-03B,45.18399,-66.95982,Digdeguash River,NA,2021-12-03T16:34:00Z,2022-04-26T13:21:00Z,Hydrophone
133266,DS-01,45.19155,-67.25869,Saint Croix River,NA,2021-09-10T12:16:00Z,2022-01-10T09:54:00Z,Hydrophone
124676,FI-01B,45.03666,-66.80779,Limekiln Harbour,NA,2021-07-07T13:02:00Z,2021-11-23T10:54:00Z,Hydrophone
550012,FI-02,45.03454,-66.81226,Limekiln Harbour,NA,2021-05-06T17:57:00Z,2021-11-23T11:05:00Z,Hydrophone
550013,FI-03,45.03286,-66.81839,Limekiln Harbour,NA,2021-05-06T17:54:00Z,2021-11-23T11:13:00Z,Hydrophone
546750,FI-04B,45.01607,-66.85227,Fundy Isles,NA,2021-07-07T13:20:00Z,2021-11-29T10:20:00Z,Hydrophone
546751,FI-05B,45.01151,-66.85601,Fundy Isles,NA,2021-07-07T13:27:00Z,2021-11-29T10:27:00Z,Hydrophone
546752,FI-06B,45.00693,-66.85914,Fundy Isles,NA,2021-07-07T13:35:00Z,2021-11-29T10:33:00Z,Hydrophone
546753,FI-07B,45.00217,-66.86218,Fundy Isles,NA,2021-07-07T13:41:00Z,2021-11-29T10:40:00Z,Hydrophone
545684,FI-08B,44.99849,-66.865,Fundy Isles,NA,2021-07-07T13:48:00Z,2021-11-29T10:48:00Z,Hydrophone
124677,FI-09B,44.99458,-66.86909,Fundy Isles,NA,2021-07-07T13:59:00Z,2021-11-29T11:01:00Z,Hydrophone
546501,FI-10B,44.98862,-66.87512,Fundy Isles,NA,2021-07-07T14:13:00Z,2021-11-29T11:10:00Z,Hydrophone
