date_time,CodeSpace,transmitter,tag_id,sensor_value,calibrated,receiver,station,area,source,latitude,longitude,habitat
2021-09-21 13:17:06,A69-1601,A69-1601-65004,65004,NA,N,VR-100,VR-100,manual tracking,manual tracking,44.96443,-67.01358,manual
2021-09-21 13:18:16,A69-1601,A69-1601-65001,65001,NA,N,VR-100,VR-100,manual tracking,manual tracking,44.96441,-67.01355,manual
2021-09-21 13:19:19,A69-9007,A69-9007-6949,6949,8,N,VR-100,VR-100,manual tracking,manual tracking,44.96443,-67.01358,manual
2021-09-21 13:19:59,A69-1601,A69-1601-60203,60203,NA,N,VR-100,VR-100,manual tracking,manual tracking,44.96443,-67.01359,manual
2021-09-21 13:21:35,A69-9007,A69-9007-6948,6948,120,N,VR-100,VR-100,manual tracking,manual tracking,44.96443,-67.01359,manual
2021-09-21 13:22:16,A69-1601,A69-1601-65002,65002,NA,N,VR-100,VR-100,manual tracking,manual tracking,44.96439,-67.01359,manual
2021-09-21 13:23:33,A69-9007,A69-9007-6949,6949,8,N,VR-100,VR-100,manual tracking,manual tracking,44.96439,-67.01363,manual
2021-09-21 13:25:50,A69-1601,A69-1601-61111,61111,NA,N,VR-100,VR-100,manual tracking,manual tracking,44.96436,-67.01361,manual
2021-09-21 13:25:55,A69-9007,A69-9007-6948,6948,120,N,VR-100,VR-100,manual tracking,manual tracking,44.96435,-67.01361,manual
2021-09-21 13:26:37,A69-1601,A69-1601-65005,65005,NA,N,VR-100,VR-100,manual tracking,manual tracking,44.96437,-67.01362,manual
2021-09-21 13:27:12,A69-1601,A69-1601-65004,65004,NA,N,VR-100,VR-100,manual tracking,manual tracking,44.96439,-67.01362,manual
2021-09-21 13:27:34,A69-1601,A69-1601-65003,65003,NA,N,VR-100,VR-100,manual tracking,manual tracking,44.96439,-67.01361,manual
2021-09-21 13:27:57,A69-1601,A69-1601-65006,65006,NA,N,VR-100,VR-100,manual tracking,manual tracking,44.96439,-67.01361,manual
2021-09-21 13:29:04,A69-1601,A69-1601-65001,65001,NA,N,VR-100,VR-100,manual tracking,manual tracking,44.96441,-67.01361,manual
2021-09-21 13:29:46,A69-9007,A69-9007-6948,6948,120,N,VR-100,VR-100,manual tracking,manual tracking,44.96441,-67.01361,manual
2021-09-21 13:31:36,A69-9007,A69-9007-6949,6949,8,N,VR-100,VR-100,manual tracking,manual tracking,44.96442,-67.01359,manual
2021-09-21 13:31:43,A69-1601,A69-1601-65002,65002,NA,N,VR-100,VR-100,manual tracking,manual tracking,44.96441,-67.01359,manual
2021-09-21 13:33:42,A69-9007,A69-9007-6948,6948,120,N,VR-100,VR-100,manual tracking,manual tracking,44.96441,-67.01356,manual
2021-09-21 13:35:11,A69-1601,A69-1601-61111,61111,NA,N,VR-100,VR-100,manual tracking,manual tracking,44.96443,-67.01356,manual
2021-09-21 13:35:18,A69-9007,A69-9007-6949,6949,8,N,VR-100,VR-100,manual tracking,manual tracking,44.96441,-67.01355,manual
2021-09-21 13:36:23,A69-1601,A69-1601-65004,65004,NA,N,VR-100,VR-100,manual tracking,manual tracking,44.96439,-67.01355,manual
2021-09-21 13:37:59,A69-1601,A69-1601-65003,65003,NA,N,VR-100,VR-100,manual tracking,manual tracking,44.9644,-67.01355,manual
2021-09-21 13:38:37,A69-9007,A69-9007-6949,6949,8,N,VR-100,VR-100,manual tracking,manual tracking,44.9644,-67.01354,manual
2021-09-21 13:38:54,A69-1601,A69-1601-60203,60203,NA,N,VR-100,VR-100,manual tracking,manual tracking,44.96441,-67.01354,manual
2021-09-21 13:40:25,A69-9007,A69-9007-6948,6948,120,N,VR-100,VR-100,manual tracking,manual tracking,44.96441,-67.01352,manual
2021-09-21 13:45:41,A69-1601,A69-1601-65004,65004,NA,N,VR-100,VR-100,manual tracking,manual tracking,44.96446,-67.01343,manual
2021-09-21 13:46:33,A69-1601,A69-1601-65005,65005,NA,N,VR-100,VR-100,manual tracking,manual tracking,44.96446,-67.01342,manual
2021-09-21 13:47:07,A69-9007,A69-9007-6949,6949,8,N,VR-100,VR-100,manual tracking,manual tracking,44.96446,-67.01341,manual
2021-09-21 13:47:47,A69-1601,A69-1601-65003,65003,NA,N,VR-100,VR-100,manual tracking,manual tracking,44.96446,-67.01341,manual
2021-09-21 13:49:37,A69-1601,A69-1601-65001,65001,NA,N,VR-100,VR-100,manual tracking,manual tracking,44.96446,-67.0134,manual
2021-09-21 13:51:29,A69-9007,A69-9007-6949,6949,8,N,VR-100,VR-100,manual tracking,manual tracking,44.96447,-67.01339,manual
2021-09-21 13:52:14,A69-1601,A69-1601-65002,65002,NA,N,VR-100,VR-100,manual tracking,manual tracking,44.96447,-67.01339,manual
2021-09-21 13:53:41,A69-9007,A69-9007-6948,6948,120,N,VR-100,VR-100,manual tracking,manual tracking,44.96447,-67.01339,manual
2021-09-21 13:55:01,A69-9007,A69-9007-6751,6751,5,N,VR-100,VR-100,manual tracking,manual tracking,44.96446,-67.01336,manual
2021-09-21 13:55:02,A69-1601,A69-1601-61111,61111,NA,N,VR-100,VR-100,manual tracking,manual tracking,44.96446,-67.01339,manual
2021-09-21 13:55:09,A69-9007,A69-9007-6750,6750,172,N,VR-100,VR-100,manual tracking,manual tracking,44.96446,-67.01336,manual
2021-09-21 13:55:17,A69-9007,A69-9007-6751,6751,5,N,VR-100,VR-100,manual tracking,manual tracking,44.96446,-67.01336,manual
2021-09-21 13:55:25,A69-9007,A69-9007-6750,6750,150,N,VR-100,VR-100,manual tracking,manual tracking,44.96446,-67.01336,manual
2021-09-21 13:55:31,A69-9007,A69-9007-6949,6949,8,N,VR-100,VR-100,manual tracking,manual tracking,44.96446,-67.01339,manual
2021-09-21 13:55:32,A69-9007,A69-9007-6751,6751,5,N,VR-100,VR-100,manual tracking,manual tracking,44.96446,-67.01336,manual
2021-09-21 13:55:35,A69-1601,A69-1601-65006,65006,NA,N,VR-100,VR-100,manual tracking,manual tracking,44.96446,-67.01339,manual
2021-09-21 13:55:41,A69-9007,A69-9007-6750,6750,139,N,VR-100,VR-100,manual tracking,manual tracking,44.96446,-67.01337,manual
2021-09-21 13:55:48,A69-9007,A69-9007-6751,6751,5,N,VR-100,VR-100,manual tracking,manual tracking,44.96446,-67.01337,manual
2021-09-21 13:55:57,A69-9007,A69-9007-6750,6750,133,N,VR-100,VR-100,manual tracking,manual tracking,44.96446,-67.01337,manual
2021-09-21 13:56:04,A69-9007,A69-9007-6751,6751,5,N,VR-100,VR-100,manual tracking,manual tracking,44.96446,-67.01338,manual
2021-09-21 13:56:12,A69-9007,A69-9007-6750,6750,130,N,VR-100,VR-100,manual tracking,manual tracking,44.96446,-67.01338,manual
2021-09-21 13:58:20,A69-1601,A69-1601-65003,65003,NA,N,VR-100,VR-100,manual tracking,manual tracking,44.96446,-67.0134,manual
2021-09-21 14:00:09,A69-9007,A69-9007-6949,6949,8,N,VR-100,VR-100,manual tracking,manual tracking,44.96444,-67.01343,manual
2021-09-21 14:00:35,A69-1601,A69-1601-65001,65001,NA,N,VR-100,VR-100,manual tracking,manual tracking,44.96444,-67.01343,manual
