station,area,habitat,receiver,model,transmit_id,code_set,type,ret_req,target,company,bma,farm_id,farm_name,vessel,techs,lat_dd,long_dd,lat_ddm,long_ddm,lat_deploy_dd,long_deploy_dd,deploy_datetime_utc_3,deploy_datetime_utc,gps,recorded_deploy_depth,est_depth,riser_length,instrument_depth,deployment_comments,retrieved_y_n_l,status,retreival_vessel,retrieval_techs,retrieval_latitude_dd,retrieval_longitude_dd,gps_id,ret_depth,ret_datetime_utc_3,ret_datetime_utc,offload_datetime_utc_3,offload_datetime_utc,saved_in_folder,backed_up,fouling,hydrophone_coverage,organisms,data_check,added_to_vue_y_n,log_size,filename,retrieval_comments
AZFP-01,Passamaquoddy Bay,inner bay,133267,VR2W,NA,NA,point,November,profiler,NA,NA,NA,NA,Viola,"Wilson, B.; Black, M.",44.99515,-67.00639,NA,NA,44.99335,-67.00807,2021-07-30T11:11:00Z,2021-07-30T14:11:00Z,NA,31.7,41.5,0.8,40.89,NA,Y,recovered,Viola,"Black, M.; Bradford, H.",44.99335,-67.00807,NA,NA,2021-11-01T10:11:00Z,2021-11-01T13:11:00Z,2021-11-02T15:56:00Z,2021-11-02T18:56:00Z,Y,Y,light,0,hydrozoan,Y,Y,0.4,VR2W_133267_20211102_1.csv,NA
BLP-I-01,Big L'etete Passage,inner bay,548185,VR2AR,60649,A69-1601-60649,gate,November,bay,NA,NA,NA,NA,Groundskeeper,"Wilson, B.; Black, M.",45.06943,-66.92144,45° 4.166',-66° 55.287',45.06957,-66.9219,2021-05-06T18:04:00Z,2021-05-06T21:04:00Z,85,NA,35,2.5,34.409,NA,Y,recovered,Viola,"Black, M.; Wilson, B.",45.0693,-66.92182,75,15.9,2021-11-30T13:26:00Z,2021-11-30T16:26:00Z,2021-12-10T11:05:00Z,2021-12-10T14:05:00Z,Y,Y,light,25,ciona,Y,Y,5.7,VR2AR_548185_20211210_1.csv,NA
BLP-I-02,Big L'etete Passage,inner bay,548186,VR2AR,60650,A69-1601-60650,gate,November,bay,NA,NA,NA,NA,Groundskeeper,"Wilson, B.; Black, M.",45.06526,-66.9238,45° 3.915',-66° 55.428',45.06502,-66.92374,2021-05-06T18:07:00Z,2021-05-06T21:07:00Z,86,NA,71.7,2.5,71.1019,NA,L,adrift,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stuck down on position, likely entangled in lobster gear; went adrift on Nov 29"
BLP-I-03,Big L'etete Passage,inner bay,548187,VR2AR,60651,A69-1601-60651,gate,November,bay,NA,NA,NA,NA,Groundskeeper,"Wilson, B.; Black, M.",45.061,-66.92621,45° 3.660',-66° 55.573',45.06086,-66.92635,2021-05-06T18:09:00Z,2021-05-06T21:09:00Z,87,NA,58.4,2.5,57.7757,NA,Y,recovered,Salar,"Black, M.; Wilson, B.",45.06086,-66.92635,na,NA,2021-11-27T15:56:00Z,2021-11-27T18:56:00Z,2021-12-10T14:11:00Z,2021-12-10T17:11:00Z,Y,Y,light,0,hydrozoan,Y,Y,7.9,VR2AR_548187_20211210_1.csv,took 10 minutes to surface (~1m per minute); entangled in 2 lobster pot float lines
BLP-I-04,Big L'etete Passage,inner bay,548188,VR2AR,60652,A69-1601-60652,gate,November,bay,NA,NA,NA,NA,Groundskeeper,"Wilson, B.; Black, M.",45.0568,-66.92859,45° 3.408',-66° 55.715',45.05676,-66.92849,2021-05-06T18:12:00Z,2021-05-06T21:12:00Z,88,NA,51.2,2.5,50.6048,NA,Y,recovered,Salar,"Black, M.; Wilson, B.",45.0568,-66.92793,46,NA,2021-11-27T15:30:00Z,2021-11-27T18:30:00Z,2021-12-10T14:11:00Z,2021-12-10T17:11:00Z,Y,Y,light,10,hydrozoan,Y,Y,6.1,VR2AR_548188_20211210_1.csv,NA
BLP-O-01,Big L'etete Passage,inner bay,546750,VR2AR,61214,A69-1601-61214,gate,November,bay,NA,NA,NA,NA,Groundskeeper,"Wilson, B.; Black, M.",45.05985,-66.91404,45° 3.591',-66° 54.843',45.05957,-66.91427,2021-05-06T17:59:00Z,2021-05-06T20:59:00Z,84,NA,32.4,2.5,31.7943,NA,Y,recovered,Viola,"Black, M.; Wilson, B.",45.05926,-66.91388,671,NA,2021-07-05T13:52:00Z,2021-07-05T16:52:00Z,2021-07-05T14:32:00Z,2021-07-05T17:32:00Z,Y,Y,light,20,hydrozoan,Y,y,2.9,VR2AR_546750_20210705_1.csv,NA
BLP-O-02,Big L'etete Passage,inner bay,546751,VR2AR,61215,A69-1601-61215,gate,November,bay,NA,NA,NA,NA,Groundskeeper,"Wilson, B.; Black, M.",45.05653,-66.91614,45° 3.392',-66° 54.969',45.05659,-66.9162,2021-05-06T17:56:00Z,2021-05-06T20:56:00Z,83,NA,38.9,2.5,38.2649,NA,Y,recovered,Viola,"Black, M.; Wilson, B.",45.05611,-66.91619,670,NA,2021-07-05T13:47:00Z,2021-07-05T16:47:00Z,2021-07-05T14:30:00Z,2021-07-05T17:30:00Z,Y,Y,clean,0,none,Y,y,3,VR2AR_546751_20210705_1.csv,NA
BLP-O-03,Big L'etete Passage,inner bay,546752,VR2AR,61216,A69-1601-61216,gate,November,bay,NA,NA,NA,NA,Groundskeeper,"Wilson, B.; Black, M.",45.05324,-66.91822,45° 3.194',-66° 55.093',45.05329,-66.91843,2021-05-06T17:55:00Z,2021-05-06T20:55:00Z,82,NA,29.9,2.5,29.3255,NA,Y,recovered,Viola,"Black, M.; Wilson, B.",45.05292,-66.91794,669,NA,2021-07-05T13:40:00Z,2021-07-05T16:40:00Z,2021-07-05T14:25:00Z,2021-07-05T17:25:00Z,Y,Y,clean,0,none,Y,y,2.9,VR2AR_546752_20210705_1.csv,NA
BLP-O-04,Big L'etete Passage,inner bay,546753,VR2AR,61217,A69-1601-61217,gate,November,bay,NA,NA,NA,NA,Groundskeeper,"Wilson, B.; Black, M.",45.05,-66.92028,45° 3.000',-66° 55.216',45.0501,-66.92033,2021-05-06T17:52:00Z,2021-05-06T20:52:00Z,81,NA,23.5,2.5,22.9452,NA,Y,recovered,Viola,"Black, M.; Wilson, B.",45.0496,-66.91993,668,NA,2021-07-05T13:34:00Z,2021-07-05T16:34:00Z,2021-07-05T14:20:00Z,2021-07-05T17:20:00Z,Y,Y,clean,0,none,Y,y,2.7,VR2AR_546753_20210705_1.csv,NA
BR-01,Passamaquoddy Bay,estuary,124998,VR2W,NA,NA,gate,November,river,NA,NA,NA,NA,Groundskeeper,"Wilson, B.; Black, M.",45.15499,-66.98152,45° 9.299',-66° 58.891',45.15255,-66.98,2021-05-07T12:28:00Z,2021-05-07T15:28:00Z,106,NA,5.9,0.8,5.25509,NA,y,recovered,Viola,"Black, M.; Wilson, B.",45.15255,-66.98,na,NA,2021-11-24T10:00:00Z,2021-11-24T13:00:00Z,2021-11-24T10:09:00Z,2021-11-24T13:09:00Z,Y,Y,light,0,bryozoan,Y,Y,0.8,VR2W_124998_20211124_1.csv,NA
