Section,Latititude,Longitude ,Short
Big L'etete Passage,45.063078,-66.925103,BLP
Bocabec River,45.165438,-66.984519,BR
Digdeguash River,45.168852,-66.96126,DR
Doyle's Passage,45.02132,-66.962928,DP
Fairhaven,44.964523,-67.01324,F
Friar's Bay,44.885778,-66.960156,FB
Fundy Isles,45.010789,-66.895803,FI
Head Harbour Passage,44.953358,-66.941995,HHP
Limekiln Harbour,45.050779,-66.830162,LH
Little L'etete Passage,45.036294,-66.938574,LLP
Lubec Narrows,44.859686,-66.98067,LN
Magaguadavic River,45.11155,-66.889023,MR
Passamaquoddy Bay,45.048973,-67.005074,PB
Quoddy Narrows,44.823949,-66.940993,QN
Saint Croix River,45.148559,-67.146125,SCR
The Wolves,44.96671,-66.720205,W
Western Passage - Fundy,44.951898,-67.020781,WP-F
Western Passage - Passamaquoddy,44.977603,-67.036808,WP-P
