Section,Fish_numb,Total_time,Fish_time,Time
Doyle's Passage,1,0.02694444444444444,0.02694444444444444,24
Fairhaven,81,591.9186111111111,7.307637174211248,24
Fundy Isles,2,5.512777777777777,2.756388888888889,24
Head Harbour Passage,9,11.665,1.296111111111111,24
Limekiln Harbour,1,1.1666666666666667,1.1666666666666667,24
Passamaquoddy Bay,11,24.871944444444445,2.2610858585858584,24
Western Passage - Fundy,47,56.25972222222222,1.19701536643026,24
Western Passage - Passamaquoddy,34,147.56055555555557,4.3400163398692815,24
Big L'etete Passage,3,3.562777777777778,1.1875925925925923,48
Digdeguash River,1,13.677222222222222,13.677222222222222,48
Doyle's Passage,3,0.3433333333333333,0.11444444444444445,48
Fairhaven,25,486.825,19.473,48
Friar's Bay,4,7.2444444444444445,1.8111111111111111,48
Fundy Isles,9,74.05166666666666,8.227962962962962,48
Head Harbour Passage,14,89.87138888888889,6.41938492063492,48
Little L'etete Passage,1,1.4347222222222222,1.4347222222222222,48
Passamaquoddy Bay,14,85.83333333333334,6.130952380952381,48
Saint Croix River,1,8.349444444444444,8.349444444444444,48
The Wolves,1,0.14722222222222223,0.14722222222222223,48
Western Passage - Fundy,22,89.0675,4.048522727272727,48
Western Passage - Passamaquoddy,18,102.8077777777778,5.7115432098765435,48
Big L'etete Passage,2,13.507222222222223,6.753611111111112,96
Bocabec River,2,3.208611111111111,1.6043055555555554,96
Doyle's Passage,5,4.2675,0.8535,96
Fairhaven,7,50.13527777777778,7.16218253968254,96
Friar's Bay,2,6.051666666666666,3.025833333333333,96
Fundy Isles,15,157.94722222222222,10.529814814814817,96
Head Harbour Passage,17,307.9586111111111,18.115212418300658,96
Limekiln Harbour,6,41.424166666666665,6.904027777777777,96
Little L'etete Passage,4,5.217777777777778,1.3044444444444443,96
Lubec Narrows,2,0.2563888888888889,0.12819444444444444,96
Magaguadavic River,1,1.92,1.92,96
Passamaquoddy Bay,8,125.34055555555555,15.667569444444444,96
Quoddy Narrows,1,0.4205555555555556,0.4205555555555556,96
Saint Croix River,1,43.85611111111111,43.85611111111111,96
Western Passage - Fundy,10,30.08416666666667,3.0084166666666667,96
Western Passage - Passamaquoddy,5,45.785,9.157,96
