Transmitter,Section,First.time,Last.time,First.array,First.station,Last.array,Last.station
A69-9007-6750,Fairhaven,2021-09-21T15:34:00Z,2021-09-21T17:11:09Z,A,St.67,A,St.72
A69-9007-6752,Fairhaven,2021-09-21T15:34:40Z,2021-09-21T15:55:45Z,A,St.67,A,St.68
A69-9007-6752,Head_Harbour_Passage-Fairhaven,2021-09-21T15:55:45Z,2021-09-21T21:46:41Z,NA,NA,NA,NA
A69-9007-6752,Head_Harbour_Passage,2021-09-21T21:46:41Z,2021-09-21T21:58:46Z,R,St.63,R,St.63
A69-9007-6752,Head_Harbour_Passage-OuterW_P,2021-09-21T21:58:46Z,2021-09-22T00:32:13Z,NA,NA,NA,NA
A69-9007-6752,OuterW_P,2021-09-22T00:32:13Z,2021-09-22T00:48:06Z,C,St.129,C,St.129
A69-9007-6752,InnerWP-OuterW_P,2021-09-22T00:48:06Z,2021-09-22T01:23:10Z,NA,NA,NA,NA
A69-9007-6752,InnerWP,2021-09-22T01:23:10Z,2021-09-22T08:56:20Z,B,St.123,B,St.123
A69-9007-6752,Fairhaven-InnerWP,2021-09-22T08:56:20Z,2021-09-22T09:33:23Z,NA,NA,NA,NA
A69-9007-6752,Fairhaven,2021-09-22T09:33:23Z,2021-09-22T09:40:29Z,A,St.68,A,St.73
A69-9007-6752,Fairhaven-OuterW_P,2021-09-22T09:40:29Z,2021-09-22T09:41:47Z,NA,NA,NA,NA
A69-9007-6752,OuterW_P,2021-09-22T09:41:47Z,2021-09-22T13:22:37Z,C,St.129,C,St.129
A69-9007-6752,InnerWP-OuterW_P,2021-09-22T13:22:37Z,2021-09-22T14:40:21Z,NA,NA,NA,NA
A69-9007-6752,InnerWP,2021-09-22T14:40:21Z,2021-09-22T19:57:06Z,B,St.125,B,St.124
A69-9007-6752,InnerWP-OuterW_P,2021-09-22T19:57:06Z,2021-09-22T20:25:30Z,NA,NA,NA,NA
A69-9007-6752,OuterW_P,2021-09-22T20:25:30Z,2021-09-22T20:32:14Z,C,St.129,C,St.129
A69-9007-6752,Head_Harbour_Passage-OuterW_P,2021-09-22T20:32:14Z,2021-09-22T22:18:16Z,NA,NA,NA,NA
A69-9007-6752,Head_Harbour_Passage,2021-09-22T22:18:16Z,2021-09-22T23:38:33Z,R,St.63,R,St.63
A69-9007-6752,Head_Harbour_Passage-OuterW_P,2021-09-22T23:38:33Z,2021-09-23T05:29:07Z,NA,NA,NA,NA
A69-9007-6752,OuterW_P,2021-09-23T05:29:07Z,2021-09-23T05:38:28Z,C,St.129,C,St.129
