Section,Fish_numb,Total_time,Fish_time,Time
Doyle's_Passage,1,0.026944444444444444,0.026944444444444444,24
Fairhaven,81,591.9186111111111,7.307637174211248,24
Fundy_Isles,2,5.512777777777777,2.7563888888888886,24
Head_Harbour_Passage,9,11.665,1.296111111111111,24
InnerWP,34,147.56055555555557,4.3400163398692815,24
Limekiln_Harbour,1,1.1666666666666667,1.1666666666666667,24
OuterW_P,47,56.25972222222222,1.19701536643026,24
Passamaquoddy_Bay,11,24.871944444444445,2.2610858585858584,24
Big_L'etete_Passage,3,3.562777777777778,1.1875925925925925,48
Digdeguash_River,1,13.677222222222222,13.677222222222222,48
Doyle's_Passage,3,0.3433333333333333,0.11444444444444445,48
Fairhaven,25,486.825,19.473,48
Friar's_Bay,4,7.2444444444444445,1.8111111111111111,48
Fundy_Isles,9,74.05166666666666,8.227962962962962,48
Head_Harbour_Passage,14,89.87138888888889,6.41938492063492,48
InnerWP,18,102.80777777777779,5.7115432098765435,48
Little_L'etete_Passage,1,1.4347222222222222,1.4347222222222222,48
OuterW_P,22,89.0675,4.048522727272727,48
Passamaquoddy_Bay,14,85.83333333333334,6.130952380952381,48
Saint_Croix_River,1,8.349444444444444,8.349444444444444,48
The_Wolves,1,0.14722222222222223,0.14722222222222223,48
Big_L'etete_Passage,2,13.507222222222223,6.753611111111112,96
Bocabec_River,2,3.208611111111111,1.6043055555555554,96
Doyle's_Passage,5,4.2675,0.8535,96
Fairhaven,7,50.13527777777778,7.16218253968254,96
Friar's_Bay,2,6.051666666666666,3.025833333333333,96
Fundy_Isles,14,147.83583333333334,10.559702380952382,96
Head_Harbour_Passage,17,307.9586111111111,18.115212418300654,96
InnerWP,5,45.785000000000004,9.157,96
Limekiln_Harbour,6,53.69833333333333,8.949722222222222,96
Little_L'etete_Passage,4,5.217777777777778,1.3044444444444445,96
Lubec_Narrows,2,0.2563888888888889,0.12819444444444444,96
Magaguadavic_River,1,1.92,1.92,96
OuterW_P,10,30.08416666666667,3.0084166666666667,96
Passamaquoddy_Bay,8,125.34055555555555,15.667569444444444,96
Quoddy_Narrows,1,0.42055555555555557,0.42055555555555557,96
Saint_Croix_River,1,43.85611111111111,43.85611111111111,96
