Transmitter,Order,Section,Direction,First.array
A69-9007-6750,1,Fairhaven,Fairhaven - Release,A
A69-9007-6752,1,Fairhaven,Fairhaven - Release,A
A69-9007-6754,1,Fairhaven,Fairhaven - Release,A
A69-9007-6756,1,Fairhaven,Fairhaven - Release,A
A69-9007-6758,1,Fairhaven,Fairhaven - Release,A
A69-9007-6760,1,Fairhaven,Fairhaven - Release,A
A69-9007-6762,1,Fairhaven,Fairhaven - Release,A
A69-9007-6764,1,Fairhaven,Fairhaven - Release,A
A69-9007-6766,1,Fairhaven,Fairhaven - Release,A
A69-9007-6768,1,Fairhaven,Fairhaven - Release,A
A69-9007-6770,1,Fairhaven,Fairhaven - Release,A
A69-9007-6772,1,Fairhaven,Fairhaven - Release,A
A69-9007-6774,1,Fairhaven,Fairhaven - Release,A
A69-9007-6776,1,Fairhaven,Fairhaven - Release,A
A69-9007-6778,1,Fairhaven,Fairhaven - Release,A
A69-9007-6780,1,Fairhaven,Fairhaven - Release,A
A69-9007-6784,1,Fairhaven,Fairhaven - Release,A
A69-9007-6786,1,Fairhaven,Fairhaven - Release,A
A69-9007-6788,1,Fairhaven,Fairhaven - Release,A
A69-9007-6790,1,Fairhaven,Fairhaven - Release,A
A69-9007-6792,1,Fairhaven,Fairhaven - Release,A
A69-9007-6794,1,Fairhaven,Fairhaven - Release,A
A69-9007-6796,1,Fairhaven,Fairhaven - Release,A
A69-9007-6798,1,Fairhaven,Fairhaven - Release,A
A69-9007-6800,1,Fairhaven,Fairhaven - Release,A
A69-9007-6802,1,Fairhaven,Fairhaven - Release,A
A69-9007-6804,1,Fairhaven,Fairhaven - Release,A
A69-9007-6806,1,Fairhaven,Fairhaven - Release,A
A69-9007-6808,1,Fairhaven,Fairhaven - Release,A
A69-9007-6810,1,Fairhaven,Fairhaven - Release,A
A69-9007-6812,1,Fairhaven,Fairhaven - Release,A
A69-9007-6814,1,Fairhaven,Fairhaven - Release,A
A69-9007-6816,1,Fairhaven,Fairhaven - Release,A
A69-9007-6818,1,Fairhaven,Fairhaven - Release,A
A69-9007-6820,1,Fairhaven,Fairhaven - Release,A
A69-9007-6822,1,Fairhaven,Fairhaven - Release,A
A69-9007-6824,1,Fairhaven,Fairhaven - Release,A
A69-9007-6826,1,Fairhaven,Fairhaven - Release,A
A69-9007-6828,1,Fairhaven,Fairhaven - Release,A
A69-9007-6830,1,Fairhaven,Fairhaven - Release,A
A69-9007-6832,1,Fairhaven,Fairhaven - Release,A
A69-9007-6834,1,Fairhaven,Fairhaven - Release,A
A69-9007-6836,1,Fairhaven,Fairhaven - Release,A
A69-9007-6838,1,Fairhaven,Fairhaven - Release,A
A69-9007-6840,1,Fairhaven,Fairhaven - Release,A
A69-9007-6842,1,Fairhaven,Fairhaven - Release,A
A69-9007-6844,1,Fairhaven,Fairhaven - Release,A
A69-9007-6846,1,Fairhaven,Fairhaven - Release,A
A69-9007-6848,1,Fairhaven,Fairhaven - Release,A
A69-9007-6850,1,Fairhaven,Fairhaven - Release,A
A69-9007-6852,1,Fairhaven,Fairhaven - Release,A
A69-9007-6854,1,Fairhaven,Fairhaven - Release,A
A69-9007-6856,1,Fairhaven,Fairhaven - Release,A
A69-9007-6858,1,Fairhaven,Fairhaven - Release,A
A69-9007-6860,1,Fairhaven,Fairhaven - Release,A
A69-9007-6862,1,Fairhaven,Fairhaven - Release,A
A69-9007-6864,1,Fairhaven,Fairhaven - Release,A
A69-9007-6866,1,Fairhaven,Fairhaven - Release,A
A69-9007-6868,1,Fairhaven,Fairhaven - Release,A
A69-9007-6870,1,Fairhaven,Fairhaven - Release,A
A69-9007-6872,1,Fairhaven,Fairhaven - Release,A
A69-9007-6874,1,Fairhaven,Fairhaven - Release,A
A69-9007-6876,1,Fairhaven,Fairhaven - Release,A
A69-9007-6878,1,Fairhaven,Fairhaven - Release,A
A69-9007-6880,1,Fairhaven,Fairhaven - Release,A
A69-9007-6882,1,Fairhaven,Fairhaven - Release,A
A69-9007-6886,1,Fairhaven,Fairhaven - Release,A
A69-9007-6888,1,Fairhaven,Fairhaven - Release,A
A69-9007-6890,1,Fairhaven,Fairhaven - Release,A
A69-9007-6892,1,Fairhaven,Fairhaven - Release,A
A69-9007-6894,1,Fairhaven,Fairhaven - Release,A
A69-9007-6896,1,Fairhaven,Fairhaven - Release,A
A69-9007-6898,1,Fairhaven,Fairhaven - Release,A
A69-9007-6900,1,Fairhaven,Fairhaven - Release,A
A69-9007-6902,1,Fairhaven,Fairhaven - Release,A
A69-9007-6904,1,Fairhaven,Fairhaven - Release,A
A69-9007-6908,1,Fairhaven,Fairhaven - Release,A
A69-9007-6910,1,Fairhaven,Fairhaven - Release,A
A69-9007-6912,1,Fairhaven,Fairhaven - Release,A
A69-9007-6914,1,Fairhaven,Fairhaven - Release,A
A69-9007-6922,1,Fairhaven,Fairhaven - Release,A
A69-9007-6924,1,Fairhaven,Fairhaven - Release,A
A69-9007-6926,1,Fairhaven,Fairhaven - Release,A
A69-9007-6928,1,Fairhaven,Fairhaven - Release,A
A69-9007-6930,1,Fairhaven,Fairhaven - Release,A
A69-9007-6932,1,Fairhaven,Fairhaven - Release,A
A69-9007-6934,1,Fairhaven,Fairhaven - Release,A
A69-9007-6936,1,Fairhaven,Fairhaven - Release,A
A69-9007-6938,1,Fairhaven,Fairhaven - Release,A
A69-9007-6940,1,Fairhaven,Fairhaven - Release,A
A69-9007-6942,1,Fairhaven,Fairhaven - Release,A
A69-9007-6944,1,Fairhaven,Fairhaven - Release,A
A69-9007-6946,1,Fairhaven,Fairhaven - Release,A
A69-9007-6752,2,Head_Harbour_Passage,Fundy,R
A69-9007-6754,2,OuterW_P,Fundy,C
A69-9007-6756,2,OuterW_P,Fundy,C
A69-9007-6758,2,InnerWP,Passamaquoddy Bay,B
A69-9007-6760,2,InnerWP,Passamaquoddy Bay,B
A69-9007-6762,2,OuterW_P,Fundy,C
A69-9007-6764,2,OuterW_P,Fundy,C
A69-9007-6766,2,OuterW_P,Fundy,C
A69-9007-6768,2,Head_Harbour_Passage,Fundy,W
A69-9007-6770,2,OuterW_P,Fundy,C
A69-9007-6772,2,OuterW_P,Fundy,C
A69-9007-6774,2,OuterW_P,Fundy,C
A69-9007-6776,2,OuterW_P,Fundy,C
A69-9007-6778,2,InnerWP,Passamaquoddy Bay,B
A69-9007-6780,2,InnerWP,Passamaquoddy Bay,B
A69-9007-6784,2,InnerWP,Passamaquoddy Bay,B
A69-9007-6786,2,OuterW_P,Fundy,C
A69-9007-6790,2,OuterW_P,Fundy,C
A69-9007-6792,2,OuterW_P,Fundy,C
A69-9007-6794,2,OuterW_P,Fundy,C
A69-9007-6802,2,OuterW_P,Fundy,C
A69-9007-6808,2,OuterW_P,Fundy,C
A69-9007-6810,2,OuterW_P,Fundy,C
A69-9007-6816,2,InnerWP,Passamaquoddy Bay,B
A69-9007-6820,2,InnerWP,Passamaquoddy Bay,B
A69-9007-6822,2,OuterW_P,Fundy,C
A69-9007-6824,2,OuterW_P,Fundy,C
A69-9007-6826,2,OuterW_P,Fundy,C
A69-9007-6832,2,OuterW_P,Fundy,C
A69-9007-6836,2,OuterW_P,Fundy,C
A69-9007-6838,2,InnerWP,Passamaquoddy Bay,B
A69-9007-6840,2,InnerWP,Passamaquoddy Bay,B
A69-9007-6842,2,OuterW_P,Fundy,C
A69-9007-6846,2,InnerWP,Passamaquoddy Bay,B
A69-9007-6848,2,InnerWP,Passamaquoddy Bay,B
A69-9007-6850,2,OuterW_P,Fundy,C
A69-9007-6854,2,OuterW_P,Fundy,C
A69-9007-6860,2,OuterW_P,Fundy,C
A69-9007-6864,2,OuterW_P,Fundy,C
A69-9007-6866,2,InnerWP,Passamaquoddy Bay,B
