Release.date,Serial.nr,Length.mm,Weight.g,Release.site,Signal,Sensor.unit
2021-09-21T15:30:00Z,1392802,365,NA,Site A,6750|6751,T|D
2021-09-21T15:30:00Z,1392803,390,NA,Site A,6752|6753,T|D
2021-09-21T15:30:00Z,1392804,345,NA,Site A,6754|6755,T|D
2021-09-21T15:30:00Z,1392805,360,NA,Site A,6756|6757,T|D
2021-09-21T15:30:00Z,1392806,360,NA,Site A,6758|6759,T|D
2021-09-21T16:00:00Z,1392807,355,NA,Site A,6760|6761,T|D
2021-09-21T16:00:00Z,1392808,350,NA,Site A,6762|6763,T|D
2021-09-21T16:00:00Z,1392809,375,NA,Site A,6764|6765,T|D
2021-09-21T16:00:00Z,1392810,380,NA,Site A,6766|6767,T|D
2021-09-21T16:00:00Z,1392811,380,NA,Site A,6768|6769,T|D
2021-09-21T16:20:00Z,1392812,350,NA,Site A,6770|6771,T|D
2021-09-21T16:20:00Z,1392813,400,NA,Site A,6772|6773,T|D
2021-09-21T16:20:00Z,1392814,370,NA,Site A,6774|6775,T|D
2021-09-21T16:20:00Z,1392815,405,NA,Site A,6776|6777,T|D
2021-09-21T16:20:00Z,1392816,410,NA,Site A,6778|6779,T|D
2021-09-21T17:30:00Z,1392817,350,NA,Site A,6780|6781,T|D
2021-09-21T17:30:00Z,1392819,390,NA,Site A,6784|6785,T|D
2021-09-21T17:30:00Z,1392820,380,NA,Site A,6786|6787,T|D
2021-09-21T17:30:00Z,1392821,360,NA,Site A,6788|6789,T|D
2021-09-21T17:40:00Z,1392822,385,NA,Site A,6790|6791,T|D
2021-09-21T17:40:00Z,1392823,360,NA,Site A,6792|6793,T|D
2021-09-21T17:40:00Z,1392824,360,NA,Site A,6794|6795,T|D
2021-09-21T17:40:00Z,1392825,345,NA,Site A,6796|6797,T|D
2021-09-21T17:40:00Z,1392826,405,NA,Site A,6798|6799,T|D
2021-09-23T15:15:00Z,1392827,385,690,Site A,6800|6801,T|D
2021-09-23T15:15:00Z,1392828,395,710,Site A,6802|6803,T|D
