Receiver,Station.name,Start,Stop
133267,AZFP-01,2021-07-30T14:11:00Z,2021-11-01T10:11:00Z
548185,BLP-I-01,2021-05-06T21:04:00Z,2021-11-30T13:26:00Z
548187,BLP-I-03,2021-05-06T21:09:00Z,2021-11-27T15:56:00Z
548188,BLP-I-04,2021-05-06T21:12:00Z,2021-11-27T15:30:00Z
124998,BR-01,2021-05-07T15:28:00Z,2021-11-24T10:00:00Z
548193,BR-01B,2021-11-24T13:02:00Z,2022-04-26T14:00:00Z
123515,BR-02,2021-07-13T16:38:00Z,2021-12-03T14:11:00Z
129077,CH-01,2021-05-07T14:11:00Z,2021-11-24T12:00:00Z
129079,CH-02,2021-05-07T13:48:00Z,2021-11-24T09:07:00Z
129081,CH-03,2021-05-07T13:45:00Z,2021-11-24T09:15:00Z
110587,DI-01,2021-05-07T18:40:00Z,2021-11-26T09:47:00Z
111480,DI-02,2021-05-07T18:33:00Z,2021-11-26T09:53:00Z
115060,DI-03,2021-05-07T18:27:00Z,2021-11-26T09:59:00Z
115076,DI-04,2021-05-07T18:21:00Z,2021-11-26T10:06:00Z
115078,DP-I-01,2021-05-07T18:06:00Z,2021-11-26T10:21:00Z
119146,DR-01,2021-05-07T15:58:00Z,2021-11-24T10:36:00Z
119153,DR-02,2021-05-07T15:41:00Z,2021-11-24T10:20:00Z
134767,DR-03,2021-07-13T17:30:00Z,2021-12-03T13:33:00Z
548191,DR-03B,2021-12-03T16:34:00Z,2022-04-26T13:21:00Z
133266,DS-01,2021-09-10T12:16:00Z,2022-01-10T09:54:00Z
124676,FI-01B,2021-07-07T13:02:00Z,2021-11-23T10:54:00Z
550012,FI-02,2021-05-06T17:57:00Z,2021-11-23T11:05:00Z
550013,FI-03,2021-05-06T17:54:00Z,2021-11-23T11:13:00Z
546750,FI-04B,2021-07-07T13:20:00Z,2021-11-29T10:20:00Z
546751,FI-05B,2021-07-07T13:27:00Z,2021-11-29T10:27:00Z
546752,FI-06B,2021-07-07T13:35:00Z,2021-11-29T10:33:00Z
546753,FI-07B,2021-07-07T13:41:00Z,2021-11-29T10:40:00Z
545684,FI-08B,2021-07-07T13:48:00Z,2021-11-29T10:48:00Z
124677,FI-09B,2021-07-07T13:59:00Z,2021-11-29T11:01:00Z
546501,FI-10B,2021-07-07T14:13:00Z,2021-11-29T11:10:00Z
546754,FI-11,2021-05-13T13:27:00Z,2021-11-29T11:27:00Z
546528,FI-12B,2021-07-07T14:23:00Z,2021-11-29T11:18:00Z
548180,FI-13B,2021-07-07T14:34:00Z,2021-11-29T11:39:00Z
548181,FI-14B,2021-07-07T14:44:00Z,2021-11-29T11:49:00Z
548182,FI-15B,2021-07-07T14:51:00Z,2021-11-29T11:51:00Z
548183,FI-16B,2021-07-07T15:01:00Z,2021-11-29T12:07:00Z
548184,FI-17B,2021-07-07T15:11:00Z,2021-11-29T12:12:00Z
548189,HHP-01,2021-05-06T19:58:00Z,2021-11-17T11:55:00Z
548190,HHP-02,2021-05-06T19:55:00Z,2021-11-17T13:00:00Z
548191,HHP-03,2021-05-06T19:52:00Z,2021-11-17T12:14:00Z
548193,HHP-04,2021-05-06T19:49:00Z,2021-11-17T12:23:00Z
547436,HHP-06,2021-05-06T19:38:00Z,2021-11-17T13:14:00Z
124697,HW-01,2021-05-06T18:29:00Z,2022-01-06T12:00:00Z
124699,HW-02,2021-05-06T16:14:00Z,2021-11-30T12:30:00Z
124702,HW-03,2021-05-04T12:54:00Z,2021-11-23T09:57:00Z
126630,HW-04,2021-05-04T13:12:00Z,2021-11-23T10:13:00Z
126636,HW-05,2021-05-04T16:58:00Z,2021-12-04T12:00:00Z
126639,HW-06,2021-05-04T16:10:00Z,2021-12-04T13:00:00Z
546382,LLP-I-02,2021-05-07T17:31:00Z,2021-11-30T13:43:00Z
546690,LN-01,2021-05-06T14:30:00Z,2021-11-30T10:54:00Z
108835,LR-01,2021-07-27T16:46:00Z,2021-12-03T11:49:00Z
108755,LR-02,2021-07-27T17:05:00Z,2021-12-03T11:41:00Z
109571,MR-B-01B,2021-05-06T15:00:00Z,2021-12-03T14:11:00Z
124674,MR-O-01B,2021-07-06T15:39:00Z,2021-11-24T11:07:00Z
480909,MR-O-01C,2021-11-24T14:10:00Z,2022-05-25T12:16:00Z
